"trip_id","starttime","stoptime","bikeid","tripduration","from_station_name","to_station_name","from_station_id","to_station_id","usertype","gender","birthyear"
134715,"2015-08-24 19:41:00","2015-08-24 19:45:00","SEA00490","234.188","Republican St & Westlake Ave N","Dexter Ave N & Aloha St","SLU-04","SLU-02","Annual Member","Male",1985
108362,"2015-07-13 18:18:00","2015-07-13 18:34:00","SEA00287","955.575","Dexter Ave N & Aloha St","1st Ave & Marion St","SLU-02","CBD-05","Annual Member","Male",1975
126810,"2015-08-11 14:12:00","2015-08-11 15:06:00","SEA00277","3242.531","Lake Union Park / Valley St & Boren Ave N","15th Ave NE & NE 40th St","SLU-17","UW-04","Short-Term Pass Holder","",""
100561,"2015-07-02 07:39:00","2015-07-02 07:54:00","SEA00237","854.362","2nd Ave & Blanchard St","E Blaine St & Fairview Ave E","BT-05","EL-03","Annual Member","Female",1964
65363,"2015-04-28 06:05:00","2015-04-28 06:10:00","SEA00352","299.813","Occidental Park / Occidental Ave S & S Washington St","Seattle Aquarium / Alaskan Way S & Elliott Bay Trail","PS-04","WF-04","Annual Member","Female",1977
138266,"2015-09-01 14:11:00","2015-09-01 14:22:00","SEA00249","706.832","Summit Ave & E Denny Way","3rd Ave & Broad St","CH-01","BT-01","Short-Term Pass Holder","",""
116213,"2015-07-25 18:00:00","2015-07-25 18:18:00","SEA00414","1073.128","2nd Ave & Pine St","Seattle Aquarium / Alaskan Way S & Elliott Bay Trail","CBD-13","WF-04","Short-Term Pass Holder","",""
144138,"2015-09-13 19:49:00","2015-09-13 20:18:00","SEA00027","1709.283","Union St & 4th Ave","6th Ave S & S King St","CBD-04","ID-04","Short-Term Pass Holder","",""
103030,"2015-07-05 15:47:00","2015-07-05 15:59:00","SEA00136","727.592","Seattle University / E Columbia St & 12th Ave","Occidental Park / Occidental Ave S & S Washington St","FH-04","PS-04","Annual Member","Male",1978
12579,"2014-11-11 14:15:00","2014-11-11 14:27:00","SEA00452","714.373","3rd Ave & Broad St","2nd Ave & Pine St","BT-01","CBD-13","Annual Member","Male",1988
15134,"2014-11-19 08:11:00","2014-11-19 08:28:00","SEA00476","1040.736","1st Ave & Marion St","6th Ave & Blanchard St","CBD-05","BT-04","Annual Member","Female",1980
78294,"2015-05-23 20:01:00","2015-05-23 20:17:00","SEA00203","947.216","Pier 69 / Alaskan Way & Clay St","Westlake Ave & 6th Ave","WF-01","SLU-15","Short-Term Pass Holder","",""
12717,"2014-11-12 05:52:00","2014-11-12 05:57:00","SEA00441","317.4","E Harrison St & Broadway Ave E","7th Ave & Union St","CH-02","CBD-03","Annual Member","Male",1979
30590,"2015-01-23 08:11:00","2015-01-23 08:27:00","SEA00162","980.544","Key Arena / 1st Ave N & Harrison St","1st Ave & Marion St","SLU-19","CBD-05","Annual Member","Female",1984
136229,"2015-08-27 13:56:00","2015-08-27 18:07:00","SEA00403","15005.973","12th Ave & NE Campus Pkwy","9th Ave N & Mercer St","UD-04","DPD-01","Short-Term Pass Holder","",""
25563,"2015-01-03 16:06:00","2015-01-03 16:27:00","SEA00263","1274.207","Pier 69 / Alaskan Way & Clay St","Lake Union Park / Valley St & Boren Ave N","WF-01","SLU-17","Short-Term Pass Holder","",""
